Announcement,Origin,Destination,Distance_Car-Peak,Time_Car-Peak,Earliesttime,Latesttime,Announcementtime,Starttime,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude
147,23672,23672,7.742508692,8.602787435,333.3421204,361.9449079,281.708561,343.3421204,-37.87192277,145.3020569,-37.87676963,145.2637012
148,23431,23674,21.31187889,31.48169592,837.5909947,889.0726906,796.0007088,847.5909947,-37.96213146,145.1352403,-37.92327251,145.2558118
149,25065,23271,11.62968939,17.71309706,487.4070818,525.1201789,449.8542935,497.4070818,-37.73546301,144.8479501,-37.67711069,144.9576069
150,25252,27075,16.25087778,25.04239841,627.7613116,672.8037101,571.5406372,637.7613116,-37.7297438,144.923308,-37.68029498,145.0857419
151,24974,24974,8.789159547,9.76573283,750.5691918,780.3349246,724.0374796,760.5691918,-37.90792406,145.1569528,-37.90386821,145.2128481
152,27075,21892,9.742474206,17.30916071,676.7136121,714.0227728,655.706402,686.7136121,-37.67080164,145.1079368,-37.71317229,145.0365173
153,24605,24214,21.97202209,33.38787624,527.8270124,581.2148887,472.9466963,537.8270124,-37.81675949,144.9133973,-37.78023266,145.1241018
154,21113,25902,10.46933605,19.86578939,288.9563111,328.8221005,272.3586168,298.9563111,-37.83224292,145.0361799,-37.84801183,144.9210193
155,25344,20912,71.12497024,68.95072917,777.3576892,866.3084184,772.793759,787.3576892,-38.40135731,144.9715819,-37.96868338,145.0401962
156,27261,27261,10.96673987,12.18526652,754.1559185,786.341185,727.5225247,764.1559185,-37.84845768,144.7315159,-37.83479642,144.6633667
157,25344,25251,102.6782513,95.27340738,445.3777123,560.6511197,446.9594198,455.3777123,-38.39774778,144.9698427,-37.77029772,144.9912524
158,23431,23431,8.43538968,9.3726552,401.4488584,430.8215136,372.4533633,411.4488584,-37.95871423,145.1115893,-37.97815446,145.0879382
159,25344,25344,16.67396633,18.52662925,763.9690748,802.4957041,709.2421916,773.9690748,-38.40730921,144.8867987,-38.3962118,144.9011466
160,23674,23674,8.032384258,8.924871398,697.8623911,726.7872625,646.9167417,707.8623911,-37.93286712,145.2722257,-37.91564992,145.2437556
161,21453,24412,46.86665666,50.6057608,797.2749844,867.8807452,800.2805087,807.2749844,-38.08595602,145.4858659,-37.80882834,145.2080561
162,20661,20661,6.620187375,7.35576375,333.8139535,361.1697172,308.2694124,343.8139535,-37.74003268,145.0802132,-37.75418788,145.0609194
163,25252,25252,6.046701332,6.718557036,588.430003,615.1485601,574.7742312,598.430003,-37.74434778,144.9818703,-37.73012116,144.9559231
164,21612,21612,9.734935752,10.81659528,710.9757219,741.7923171,678.8263505,720.9757219,-38.0131824,145.3498431,-38.02006377,145.3482445
165,26981,26985,5.884903357,10.01924979,843.4073788,873.4266286,817.9911132,853.4073788,-37.83588147,145.1221294,-37.83987024,145.1483921
166,26985,26985,6.267397933,6.963775481,675.6713148,702.6350903,679.7375651,685.6713148,-37.83540624,145.1685687,-37.82432189,145.1706008
167,24214,26985,9.795868687,16.01584451,430.3331546,466.3489991,427.5120349,440.3331546,-37.76542582,145.1117647,-37.82454888,145.1872936
168,22314,27351,18.5476844,36.74588763,202.7187133,259.4646009,196.7272731,212.7187133,-37.91702553,145.0495704,-37.79874772,145.0332489
169,20661,21113,10.84195648,24.47428673,218.7682583,263.2425451,219.7358379,228.7682583,-37.74399614,145.1048743,-37.82373163,145.007027
170,24214,24214,8.226967689,9.14107521,230.4617218,259.602797,230.0841963,240.4617218,-37.76467037,145.1635803,-37.78015711,145.1394868
171,22171,22174,10.35100912,14.22290105,550.6750372,584.8979383,545.5204716,560.6750372,-38.13150933,145.1860235,-38.12997057,145.1755236
172,26981,24214,8.84103325,14.70324796,410.0375879,444.7408358,357.2275904,420.0375879,-37.81511514,145.1200978,-37.7676544,145.1746111
173,24214,24601,20.02509358,31.51993903,243.949387,295.469326,245.0606822,253.949387,-37.77124279,145.149937,-37.80568844,144.9976164
174,25713,25713,9.672561225,10.74729025,343.5923294,374.3396197,318.397299,353.5923294,-37.69411938,145.1968724,-37.70003909,145.1900479
175,23431,23431,8.43538968,9.3726552,873.7865385,903.1591937,820.189056,883.7865385,-37.96015706,145.139303,-37.97857212,145.1115893
176,23672,27453,19.83013611,26.62422985,621.796805,668.4210348,600.3411899,631.796805,-37.86931001,145.3130988,-37.76242396,145.3866772
177,21113,21113,5.096558435,5.662842706,240.5248836,266.1877264,248.1830964,250.5248836,-37.82210502,145.0006453,-37.82115933,145.0293631
178,26985,26985,6.267397933,6.963775481,562.8584281,589.8222036,514.4020914,572.8584281,-37.8286724,145.1650849,-37.83370386,145.1816326
179,24214,26351,20.46175065,33.99105131,270.4916277,324.482679,211.2488469,280.4916277,-37.76742777,145.1174252,-37.84410756,145.0083485
180,25345,25345,8.951060942,9.945623269,399.2456027,429.1912259,377.3242146,409.2456027,-38.24162409,145.0972861,-38.25355733,145.1033788
181,21114,21114,6.010686571,6.678540634,727.3077478,753.9862884,715.8855856,737.3077478,-37.80106619,145.0274456,-37.80764338,145.0377433
182,25901,27453,45.04024,65.60518833,768.7739246,854.3791129,757.47616,778.7739246,-37.87513885,144.9789516,-37.76446359,145.3689448
183,23672,24411,10.58292608,16.0937994,693.8373192,729.9311186,637.3130353,703.8373192,-37.87143051,145.2648635,-37.79906981,145.284588
184,27075,27076,6.966010821,11.45396537,487.6889065,519.1428718,439.6968266,497.6889065,-37.67298661,145.0990879,-37.67293041,144.9945937
185,21613,21613,8.653800239,9.615333599,796.0683906,825.6837242,784.445841,806.0683906,-38.09200505,145.281758,-38.10179474,145.2849541
186,23271,23271,9.461522169,10.51280241,453.6703692,484.1831716,402.354404,463.6703692,-37.67123371,144.8844193,-37.68023754,144.9161581
187,20662,20662,13.75727637,15.28586263,521.8375705,557.1234331,507.8121198,531.8375705,-37.7112637,145.0734288,-37.71133913,145.0653028
188,24214,20661,11.22404226,20.36900952,541.6105258,581.9795353,542.0047615,551.6105258,-37.77328251,145.1111842,-37.739089,145.031181
189,21111,21112,7.008335985,13.61815208,709.2248919,742.843044,700.7986668,719.2248919,-37.81069201,145.0653663,-37.83665054,145.0478364
190,20911,20912,7.113287551,10.52062654,666.090611,696.6112375,619.8447619,676.090611,-37.91114597,144.9652771,-37.96458375,144.9958181
191,24601,24601,3.533588058,3.926208953,654.3332409,678.2594499,635.7888435,664.3332409,-37.80674725,144.9403561,-37.81052874,144.9229605
192,27076,27076,7.572964463,8.414404959,427.5411491,455.9555541,423.138298,437.5411491,-37.66581122,144.9899532,-37.66859863,145.00895
193,27264,27264,8.797206715,9.774674128,400.4922073,430.2668814,392.7780494,410.4922073,-37.94861219,144.6432849,-37.93256212,144.7205425
194,22174,22174,6.88502239,7.650024878,298.1749651,325.82499,270.3915935,308.1749651,-38.12859776,145.1652182,-38.13931336,145.1627507
195,25902,25252,15.13518177,24.88863511,647.5631164,692.4517515,621.0421376,657.5631164,-37.83181671,144.9605907,-37.74287606,144.9997
196,22171,22171,10.05100484,11.16778316,541.3717231,572.5395063,513.7853446,551.3717231,-38.13379745,145.172665,-38.126628,145.2170965
197,26985,26985,6.267397933,6.963775481,630.7249178,657.6886933,625.3271024,640.7249178,-37.82678088,145.1957126,-37.82307349,145.1645043
198,22174,22174,6.88502239,7.650024878,683.5127135,711.1627384,664.0812241,693.5127135,-38.13344075,145.1109333,-38.13664399,145.125448
199,24975,24975,7.005550782,7.783945313,203.4518176,231.2357629,206.7072829,213.4518176,-37.87364939,145.1345849,-37.88368813,145.0920607
